Person,Membership
Farrell,Administration of the Patrimony of the Apostolic See
Harvey,Administration of the Patrimony of the Apostolic See
Pierre,Administration of the Patrimony of the Apostolic See
Sturla Berhouet,Administration of the Patrimony of the Apostolic See
Tagle,Administration of the Patrimony of the Apostolic See
Turkson,Administration of the Patrimony of the Apostolic See
Woelki,Administration of the Patrimony of the Apostolic See
Zuppi,Administration of the Patrimony of the Apostolic See
Krajewski,Cardinal Commission for the Supervision of the Institute for the Works of Religion
Petrocchi,Cardinal Commission for the Supervision of the Institute for the Works of Religion
Schönborn,Cardinal Commission for the Supervision of the Institute for the Works of Religion
Arborelius,Council for the Economy
Erdő,Council for the Economy
Lacroix,Council for the Economy
Marx,Council for the Economy
Petrocchi,Council for the Economy
Sako,Council for the Economy
Scherer,Council for the Economy
Tobin,Council for the Economy
Ambongo Besungu,Council of Cardinals
Gracias,Council of Cardinals
Hollerich,Council of Cardinals
Lacroix,Council of Cardinals
O'Malley,Council of Cardinals
Omella,Council of Cardinals
Parolin,Council of Cardinals
Rocha,Council of Cardinals
Vérgez Alzaga,Council of Cardinals
Advincula,Dicastery for Bishops
Arborelius,Dicastery for Bishops
Aveline,Dicastery for Bishops
Aviz,Dicastery for Bishops
Cantoni,Dicastery for Bishops
Cobo Cano,Dicastery for Bishops
Cupich,Dicastery for Bishops
Fernández,Dicastery for Bishops
Grech,Dicastery for Bishops
Gugerotti,Dicastery for Bishops
Koch,Dicastery for Bishops
Lojudice,Dicastery for Bishops
Mendonça,Dicastery for Bishops
Nichols,Dicastery for Bishops
Omella,Dicastery for Bishops
Parolin,Dicastery for Bishops
Prevost,Dicastery for Bishops
Rocha,Dicastery for Bishops
Roche,Dicastery for Bishops
Ryś,Dicastery for Bishops
Sandri,Dicastery for Bishops
Tobin,Dicastery for Bishops
Tscherrig,Dicastery for Bishops
You Heung-Sik,Dicastery for Bishops
Aguiar Alves,Dicastery for Communication
Bo,Dicastery for Communication
Gambetti,Dicastery for Communication
Langlois,Dicastery for Communication
Maeda,Dicastery for Communication
Semeraro,Dicastery for Communication
Aguiar Retes,Dicastery for Culture and Education
Aós Braco,Dicastery for Culture and Education
De Kesel,Dicastery for Culture and Education
Fernández,Dicastery for Culture and Education
Gugerotti,Dicastery for Culture and Education
Hollerich,Dicastery for Culture and Education
Kambanda,Dicastery for Culture and Education
Lacroix,Dicastery for Culture and Education
Lacunza Maestrojuán,Dicastery for Culture and Education
Ladaria Ferrer,Dicastery for Culture and Education
Mendonça,Dicastery for Culture and Education
Nycz,Dicastery for Culture and Education
Ouellet,Dicastery for Culture and Education
Prevost,Dicastery for Culture and Education
Roche,Dicastery for Culture and Education
Sako,Dicastery for Culture and Education
Scherer,Dicastery for Culture and Education
Tagle,Dicastery for Culture and Education
Tobin,Dicastery for Culture and Education
Tsarahazana,Dicastery for Culture and Education
You Heung-Sik,Dicastery for Culture and Education
Aós Braco,Dicastery for Divine Worship and the Discipline of the Sacraments
Aviz,Dicastery for Divine Worship and the Discipline of the Sacraments
Bo,Dicastery for Divine Worship and the Discipline of the Sacraments
Bozanić,Dicastery for Divine Worship and the Discipline of the Sacraments
Cupich,Dicastery for Divine Worship and the Discipline of the Sacraments
Dew,Dicastery for Divine Worship and the Discipline of the Sacraments
Erdő,Dicastery for Divine Worship and the Discipline of the Sacraments
Farrell,Dicastery for Divine Worship and the Discipline of the Sacraments
